product	purchases	week
20076252	1	48
20076658	2	5
20076658	1	45
20076658	1	50
20076658	1	52
20076689	1	7
20076689	2	45
20076689	1	46
20076689	1	48
20076689	1	49
20076689	2	50
20076801	1	1
20076801	1	3
20076801	2	4
20076801	1	6
20076801	2	7
20076801	1	44
20076801	1	45
20076801	1	46
20076801	1	47
20076801	1	52
20076825	4	3
20076825	1	4
20076825	1	45
20076825	1	48
20076825	2	50
20076849	2	4
20076849	1	5
20076849	2	6
20076849	3	46
20076849	1	47
20076849	2	49
20076863	1	0
20076863	1	1
20076863	1	3
20076863	1	7
20076863	1	45
20076863	1	50
20076887	1	2
20076887	2	6
20076887	1	7
20076887	1	8
20076887	1	44
20076887	1	45
20076887	1	46
20076887	2	47
20076887	1	49
20076887	1	52
20085957	1	44
20086169	1	0
20086169	1	1
20086169	1	2
20086169	2	3
20086169	3	4
20086169	2	5
20086169	3	6
20086169	3	7
20086169	1	8
20086169	1	44
20086169	1	45
20086169	2	46
20086169	8	47
20086169	5	48
20086169	5	49
20086169	4	50
20086169	1	52
20086206	1	1
20086206	1	2
20086206	2	4
20086206	1	5
20086206	2	7
20086206	1	44
20086206	3	45
20086206	1	47
20086206	1	49
20086206	1	52
20086350	2	1
20086350	1	7
20086350	2	45
20086350	1	53
20086480	1	2
20086480	1	6
20086480	1	7
20086480	2	8
20086480	2	45
20086480	1	46
20086480	1	48
20086480	2	49
20086480	1	50
20086480	2	51
20086480	1	52
20086480	1	53
20086770	1	50
20086770	1	51
20086862	1	0
20086862	1	1
20086862	1	2
20086862	2	3
20086862	1	4
20086862	5	5
20086862	2	6
20086862	1	7
20086862	1	44
20086862	3	45
20086862	3	46
20086862	1	47
20086862	2	48
20086862	1	49
20086862	1	50
20086862	1	51
20086862	1	52
20086862	1	53
20087357	1	2
20087357	2	4
20087357	1	5
20087357	1	45
20087357	1	46
20087357	1	48
20087357	1	50
20087371	3	2
20087371	2	3
20087371	1	4
20087371	2	5
20087371	1	6
20087371	1	7
20087371	2	8
20087371	4	45
20087371	1	46
20087371	2	47
20087371	3	49
20087371	1	50
20087371	2	52
20087388	1	5
20087388	2	8
20087388	1	50
20087388	1	52
20087401	1	5
20087401	2	45
20087401	1	46
20087401	1	47
20087401	1	53
20087739	1	0
20087739	2	2
20087739	2	3
20087739	1	5
20087739	1	6
20087739	3	7
20087739	4	8
20087739	2	45
20087739	1	46
20087739	1	47
20087739	3	48
20087739	5	49
20087739	3	51
20087760	1	1
20087760	2	2
20087760	1	4
20087760	1	5
20087760	6	45
20087760	1	46
20087760	3	50
20087760	1	51
20087760	1	52
20087920	1	49
20087968	1	2
20089245	1	1
20089245	1	3
20089269	1	45
20089917	1	0
20089917	1	45
20089917	1	49
20090067	1	0
20090067	1	46
20090067	1	47
20090067	1	49
20090562	1	4
20090562	1	6
20090562	1	8
20090562	1	46
20090562	1	47
20090562	2	49
20090562	1	50
20090685	1	45
20090685	1	46
20090852	1	46
20090852	1	48
20090890	2	45
20090890	1	46
20090999	1	0
20090999	3	1
20090999	1	2
20090999	1	3
20090999	1	45
20090999	1	46
20090999	1	47
20090999	1	49
20090999	1	53
20091026	1	0
20091026	1	45
20091026	1	47
20091026	1	48
20091026	1	49
20091057	1	3
20091057	1	47
20091057	1	48
20091057	1	49
20091057	1	50
20091057	1	53
20091071	1	0
20091071	1	1
20091071	2	4
20091071	1	7
20091071	1	48
20091071	2	49
20091477	1	0
20091477	1	2
20091477	1	3
20091477	3	7
20091477	2	8
20091477	3	45
20091477	1	46
20091477	1	47
20091477	1	48
20091477	2	49
20091477	5	50
20091477	1	52
20091712	1	4
20091712	1	8
20091712	1	48
20091736	1	6
20091736	1	45
20092696	1	7
20092696	1	44
20092740	1	5
20092740	1	7
20092740	1	53
20092788	1	6
20092788	2	7
20094805	1	7
20094805	1	47
20094805	1	49
20095819	1	0
20095819	2	7
20095819	1	8
20095819	1	45
20095819	1	46
20095819	1	49
20100360	1	0
20100360	1	3
20100711	1	45
20100711	1	47
20100780	1	2
20100797	1	7
20100797	1	51
20100933	1	1
20100933	2	5
20100933	1	8
20100933	1	47
20100933	1	49
20100933	1	51
20100988	1	1
20100988	1	7
20102081	1	0
20102081	2	2
20102081	4	3
20102081	2	5
20102081	3	6
20102081	1	7
20102081	1	45
20102081	1	47
20102081	1	48
20102081	2	49
20102081	1	50
20102081	1	51
20102081	1	52
20103088	1	0
20103088	1	3
20103088	1	5
20103088	1	6
20103088	1	7
20103088	1	49
20116415	1	48
20116415	1	49
20116415	1	50
20116422	1	5
20116422	1	45
20116422	1	47
20116422	1	49
20123833	2	5
20123833	1	47
20123833	1	48
20123833	1	49
20123840	1	5
20123840	1	46
20123840	1	49
20123840	1	50
20123857	1	4
20123857	1	6
20123857	1	49
20123918	1	0
20123918	3	2
20123918	3	3
20123918	3	4
20123918	4	5
20123918	3	6
20123918	6	7
20123918	2	8
20123918	3	45
20123918	1	46
20123918	3	47
20123918	7	48
20123918	2	49
20123918	2	50
20123918	1	51
20123918	1	53
20123932	3	1
20123932	1	2
20123932	1	3
20123932	2	4
20123932	1	5
20123932	2	7
20123932	2	8
20123932	4	45
20123932	3	46
20123932	1	47
20123932	2	50
20123932	1	51
20123932	1	52
20123932	1	53
20123963	1	3
20123963	1	4
20123963	1	5
20123963	1	45
20123963	2	46
20123963	1	50
20123963	1	52
20137045	1	3
20137045	1	4
20137045	1	44
20137045	1	49
20137045	1	50
20137045	1	51
20137045	1	52
20148706	1	4
20148706	1	5
20148706	3	44
20148706	1	45
20148706	2	50
20148706	2	51
20148973	1	1
20148973	1	2
20148973	1	4
20148973	2	8
20148973	2	44
20148973	5	45
20148973	1	46
20148973	1	49
20148973	1	51
20148997	1	6
20148997	1	44
20148997	1	50
20149024	1	6
20149024	1	7
20149024	1	44
20149055	1	0
20149055	1	52
20149772	1	44
20149772	2	45
20149772	1	46
20149772	4	47
20149772	1	49
20149772	4	50
20149772	1	53
20149802	1	0
20149802	1	7
20149802	1	8
20149802	4	45
20149802	2	46
20149802	1	48
20149802	1	49
20149802	4	50
20149833	1	1
20149833	1	2
20149833	2	45
20149833	1	47
20149833	2	50
20149833	1	53
20149864	1	44
20149864	1	45
20149864	1	50
20149864	1	51
20149864	1	53
20153137	2	2
20153137	1	7
20153137	1	45
20153137	1	46
20153137	1	47
20153137	2	48
20153137	1	50
20153267	1	52
20153281	2	3
20153281	1	5
20153281	1	47
20153281	1	52
20153342	1	5
20153366	1	8
20153366	1	49
20153700	2	7
20153700	1	52
20153984	1	7
20154912	1	4
20154912	1	6
20154912	1	8
20154912	1	48
20154912	2	49
20154912	1	50
20154912	1	51
20159658	1	4
20159658	1	6
20159658	1	44
20159658	1	46
20159665	1	1
20159665	1	6
20159665	1	44
20159665	1	48
20159665	1	51
20159672	1	3
20159672	1	45
20159672	1	46
20159672	1	52
20159696	1	46
20159696	1	47
20159696	1	53
20159702	1	1
20159702	2	47
20159702	1	48
20159702	1	49
20159719	1	46
20159719	1	47
20159764	1	2
20159764	1	46
20159764	1	48
20159764	1	49
20159788	1	49
20159788	1	51
20159795	1	3
20159795	1	4
20159795	2	48
20159795	1	50
20159849	1	45
20159849	1	49
20159856	1	6
20159856	1	7
20159856	1	44
20159856	1	45
20159856	1	46
20159856	1	48
20159900	1	4
20159900	1	5
20159900	1	6
20160128	1	1
20160128	1	3
20160128	3	4
20160128	2	48
20160128	1	49
20160128	1	50
20160128	1	52
20160159	2	3
20160159	1	7
20160159	1	46
20160159	1	50
20160180	1	2
20160180	2	3
20160180	1	47
20160203	1	0
20160203	1	2
20160203	4	3
20160203	1	5
20160203	1	6
20160203	1	8
20160203	1	44
20160203	1	46
20160203	1	48
20160203	1	49
20160210	2	1
20160210	1	2
20160210	1	3
20160210	2	5
20160210	1	6
20160210	2	7
20160210	1	8
20160210	1	47
20160210	2	48
20160210	1	49
20160210	1	51
20160272	1	1
20160272	1	2
20160272	1	5
20160272	1	6
20160272	1	49
20160296	2	1
20160296	3	3
20160296	1	5
20160296	1	6
20160319	1	2
20161453	1	47
20161477	1	47
20165918	1	7
20165956	1	49
20166069	1	49
20171612	1	3
20171612	1	4
20171612	1	8
20171612	1	44
20171612	1	46
20171612	1	52
20171629	2	2
20171629	1	3
20171629	1	6
20171629	1	44
20171629	1	45
20171629	2	47
20171629	1	50
20175313	1	49
20175313	1	50
20175313	1	52
20179144	1	45
20179212	1	1
20179212	1	2
20179212	1	4
20179212	3	47
20179212	1	48
20179212	3	49
20179212	1	50
20179335	1	1
20179335	1	2
20179335	2	3
20179335	1	4
20179335	1	5
20179335	1	46
20179335	2	47
20179335	1	48
20179335	1	50
20179335	1	51
20179359	1	2
20179489	1	3
20179489	1	5
20179489	1	6
20179489	2	46
20179489	1	47
20179489	1	48
20179489	1	50
20180348	1	0
20180348	1	1
20180348	1	2
20180348	1	4
20180348	1	46
20180348	1	49
20180348	2	50
20180553	1	1
20180553	3	2
20180553	2	3
20180553	5	4
20180553	1	5
20180553	1	6
20180553	1	7
20180553	1	8
20180560	1	1
20180560	2	6
20180560	1	46
20180560	1	53
20180584	1	2
20180584	1	3
20180584	1	46
20180584	1	48
20180713	1	47
20180713	1	48
20180850	1	4
20180850	1	6
20180850	1	7
20180850	1	44
20180850	1	47
20180850	2	49
20180850	1	50
20181055	1	3
20181055	1	4
20181055	1	8
20181055	2	45
20181055	1	46
20181055	1	50
20181093	1	4
20181093	2	47
20181703	1	3
20181703	1	44
20181703	1	48
20181703	1	49
20181703	1	50
20181703	1	52
20181734	2	4
20181734	1	5
20181734	2	6
20181734	1	7
20181734	2	47
20181734	1	48
20181734	2	50
20181734	1	51
20181734	2	52
20189877	1	49
20192310	1	8
20197872	1	2
20197872	1	5
20197872	1	47
20197872	1	48
20197872	2	49
20197872	1	50
20197872	1	51
20197872	1	52
20197889	4	2
20197889	1	4
20197889	3	5
20197889	1	8
20197889	1	44
20197889	1	45
20197889	3	46
20197889	2	47
20197889	1	48
20197889	1	49
20197889	2	50
20197889	2	51
20197889	3	52
20200657	1	2
20200657	1	8
20200657	1	46
20203689	5	0
20203689	15	1
20203689	24	2
20203689	9	3
20203689	3	6
20203689	3	7
20203689	11	44
20203689	20	45
20205133	1	0
20205133	1	2
20205133	2	3
20205133	1	8
20205133	1	47
20205133	1	52
20206130	2	1
20206130	2	2
20206130	3	3
20206130	3	4
20206130	2	6
20206130	2	7
20206130	3	8
20206130	1	44
20206130	3	45
20206130	1	46
20206130	12	47
20206130	1	48
20206130	3	49
20206130	1	50
20206130	1	52
20215460	2	49
20215477	1	0
20215477	7	46
20215477	2	47
20216559	1	2
20216559	1	5
20216559	1	6
20216559	1	46
20216559	1	51
20217013	3	0
20217013	4	1
20217013	1	2
20217013	1	3
20217013	2	4
20217013	2	5
20217013	1	6
20217013	5	7
20217013	3	8
20217013	2	44
20217013	9	45
20217013	4	46
20217013	4	47
20217013	10	48
20217013	7	49
20217013	3	50
20217013	2	51
20217013	1	52
20217037	2	2
20217037	1	4
20217037	1	8
20217037	1	48
20217037	1	51
20217266	2	3
20217266	1	5
20217266	2	6
20217266	2	45
20217266	1	46
20217266	1	48
20217266	2	49
20217280	4	1
20217280	2	2
20217280	2	3
20217280	1	4
20217280	3	5
20217280	1	6
20217280	3	7
20217280	2	8
20217280	1	44
20217280	2	45
20217280	5	46
20217280	2	47
20217280	2	48
20217280	1	49
20217280	1	51
20217280	1	53
20217297	1	0
20217297	1	1
20217297	1	2
20217297	1	3
20217297	2	4
20217297	1	5
20217297	1	6
20217297	1	8
20217297	2	45
20217297	2	46
20217297	1	47
20217297	2	50
20217297	1	52
20222406	1	0
20222406	1	2
20222406	1	48
20222406	1	49
20222406	1	50
20222406	2	52
20222604	1	2
20222604	1	3
20222604	1	6
20222604	1	7
20227708	1	8
20227715	1	2
20227715	1	8
20227715	1	48
20227715	1	52
20228255	1	0
20228255	1	49
20228255	1	52
20228347	1	5
20228378	2	0
20228378	1	1
20228378	1	7
20228378	1	45
20228385	1	1
20228385	1	3
20228385	1	45
20228385	2	50
20228385	1	51
20228392	2	8
20228392	1	48
20228422	1	8
20228422	1	48
20228439	1	8
20228439	1	45
20228552	1	3
20228552	1	47
20228651	1	2
20228651	1	3
20228651	1	6
20228651	1	48
20228651	1	53
20228828	1	7
20228866	1	6
20228903	1	2
20228903	1	4
20228903	1	5
20228903	1	6
20228903	1	48
20228941	1	0
20228941	1	2
20228941	1	3
20228941	2	7
20228941	3	45
20228941	1	48
20228941	1	51
20228972	1	4
20229146	1	2
20229146	1	47
20229146	1	48
20229184	1	7
20229238	1	48
20229245	1	48
20229276	1	48
20229283	1	48
20229306	1	50
20229535	1	49
20229535	1	50
20229542	1	5
20229542	1	49
20229542	1	50
20229597	1	1
20229689	1	48
20229696	1	52
20229719	1	48
20229726	1	46
20229726	1	48
20229726	1	52
20229733	3	1
20229733	2	3
20229733	1	5
20229733	1	8
20229733	1	44
20229733	1	45
20229733	1	47
20229733	1	50
20229733	1	51
20229764	1	47
20229771	1	47
20238919	1	3
20238919	1	4
20238919	2	5
20238919	1	6
20238919	2	44
20238919	2	46
20238919	4	48
20238919	2	49
20238919	1	53
20246013	14	0
20246013	18	1
20246013	25	2
20246013	62	3
20246013	28	4
20246013	27	5
20246013	31	6
20246013	31	7
20246013	26	8
20246013	14	44
20246013	31	45
20246013	27	46
20246013	26	47
20246013	31	48
20246013	28	49
20246013	30	50
20246013	15	51
20246013	14	52
20246013	7	53
20246037	9	6
20246037	23	7
20246037	8	8
20246068	11	0
20246068	23	1
20246068	25	2
20246068	23	3
20246068	21	4
20246068	26	5
20246068	24	6
20246068	24	7
20246068	13	8
20246068	11	44
20246068	23	45
20246068	27	46
20246068	31	47
20246068	39	48
20246068	40	49
20246068	35	50
20246068	19	51
20246068	20	52
20246068	5	53
20246129	2	0
20246129	1	1
20246129	2	2
20246129	8	3
20246129	7	4
20246129	5	5
20246129	11	6
20246129	12	7
20246129	3	8
20246129	19	45
20246129	39	46
20246129	4	47
20246129	2	48
20246129	6	49
20246129	4	50
20246129	2	51
20246129	3	52
20246884	1	1
20246891	1	3
20246891	1	50
20246914	1	0
20246914	1	3
20246914	1	6
20246914	1	45
20247546	1	0
20247546	1	1
20247546	1	2
20247546	1	6
20247546	1	44
20247546	1	46
20247546	2	47
20247546	1	48
20247546	2	50
20247676	1	2
20247676	1	48
20247836	1	1
20247836	1	46
20247836	1	47
20247836	3	48
20247836	2	49
20247836	3	50
20248147	1	1
20248147	1	2
20248147	1	4
20248147	1	6
20248147	1	44
20248147	1	45
20248147	1	47
20248147	1	50
20248277	1	7
20248277	2	45
20248277	1	47
20248277	1	48
20248284	1	0
20248284	1	2
20248284	1	7
20248284	3	45
20248284	1	47
20248284	1	48
20248284	1	52
20248284	1	53
20252496	1	46
20255053	1	4
20255053	1	48
20255077	1	51
20271114	1	1
20271114	1	8
20277406	1	3
20277406	1	4
20277406	1	49
20277406	1	51
20277659	1	0
20277659	1	2
20277659	1	5
20277659	1	6
20277659	1	45
20277659	2	49
20277659	2	52
20277673	1	1
20277673	2	3
20277673	1	5
20277673	1	48
20277673	1	49
20279417	1	0
20279417	2	3
20279417	1	4
20279417	1	5
20279417	2	6
20279417	2	7
20279417	1	8
20279417	1	44
20279417	1	46
20279417	1	47
20279417	1	51
20279431	1	2
20279431	1	3
20279431	1	4
20279431	1	5
20279431	1	45
20279431	1	50
20279431	1	52
20279479	1	2
20279479	1	3
20279479	1	4
20279479	1	48
20279479	1	53
20285029	1	49
20285029	2	50
20299507	1	0
20299507	1	1
20299507	2	2
20299507	1	3
20299507	1	4
20299507	1	5
20299507	2	6
20299507	1	7
20299507	3	8
20299507	1	44
20299507	4	45
20299507	2	46
20299507	4	47
20299507	6	48
20299507	4	49
20299507	6	50
20299507	1	51
20301064	1	0
20301064	2	1
20301064	1	2
20301064	1	3
20301064	1	4
20301064	1	5
20301064	1	6
20301064	3	7
20301064	1	8
20301064	2	45
20301064	1	47
20301064	1	48
20301064	2	50
20301071	2	1
20301071	1	2
20301071	3	3
20301071	1	4
20301071	2	5
20301071	3	6
20301071	3	7
20301071	1	8
20301071	5	44
20301071	3	45
20301071	1	47
20301071	1	48
20301071	1	49
20301071	2	51
20301071	1	52
20301101	1	1
20301101	1	2
20301101	2	3
20301101	2	5
20301101	1	6
20301101	5	7
20301101	1	8
20301101	7	44
20301101	2	45
20301101	4	46
20301101	3	47
20301101	1	48
20301101	2	50
20301101	1	51
20301101	1	52
20301125	1	0
20301125	1	2
20301125	2	47
20301125	1	48
20301125	2	49
20301132	1	1
20301132	1	2
20301132	1	3
20301132	2	4
20301132	1	44
20301132	5	45
20301132	2	46
20301132	1	47
20301132	1	49
20301132	1	53
20301149	1	1
20301149	1	3
20301149	1	44
20301149	8	45
20301149	10	46
20301149	1	48
20301149	1	49
20301149	1	50
20301149	1	52
20301163	1	3
20301163	1	8
20301316	1	2
20301316	2	3
20301316	1	45
20301316	1	46
20301316	1	47
20301316	1	48
20301316	3	49
20301453	1	2
20301453	1	3
20301453	1	5
20301453	2	6
20301453	1	50
20302863	2	0
20302863	5	1
20302863	3	2
20302863	4	3
20302863	2	4
20302863	2	5
20302863	2	6
20302863	2	7
20302863	2	8
20302863	3	45
20302863	5	46
20302863	1	47
20302863	2	48
20302863	4	49
20302863	2	50
20302894	1	1
20302894	1	2
20302894	1	4
20302894	2	45
20302894	1	47
20302894	1	48
20302894	1	49
20307585	28	2
20307585	99	3
20307585	32	4
20307585	36	5
20307585	70	6
20307585	25	7
20307585	23	44
20307585	92	45
20307585	30	46
20307585	53	48
20307585	82	49
20307585	89	50
20307585	25	51
20307585	26	52
20307585	2	53
20307875	1	3
20307875	2	5
20307875	1	45
20307875	1	48
20308087	1	2
20308087	1	4
20308087	1	5
20308087	1	7
20308087	1	46
20308087	2	49
20308087	1	50
20308087	3	52
20309572	1	3
20309572	1	6
20310127	1	1
20310127	1	3
20310127	1	4
20310127	1	7
20310127	2	48
20310127	1	50
20310127	1	53
20315337	1	3
20315337	2	45
20315337	1	46
20315337	1	48
20318048	2	1
20318048	2	3
20318048	2	4
20318048	2	5
20318048	1	6
20318048	1	7
20318048	1	8
20318048	3	45
20318048	2	48
20318048	1	49
20318048	1	53
20318253	1	1
20318253	1	2
20318253	3	5
20318253	1	7
20318253	1	45
20318253	1	46
20320164	1	3
20320164	2	4
20320164	3	5
20320164	1	8
20320164	1	45
20320164	1	46
20320164	1	49
20320164	3	50
20320164	1	51
20321857	1	4
20321857	1	49
20322625	1	0
20322625	3	1
20322625	2	2
20322625	2	4
20322625	3	5
20322625	1	7
20322625	1	8
20322625	2	45
20322625	3	46
20322625	2	47
20322625	3	48
20322625	2	49
20322625	2	50
20323196	2	1
20323196	1	2
20323196	2	3
20323196	1	4
20323196	2	7
20323196	1	44
20323196	1	45
20323196	1	46
20323196	1	47
20323196	1	49
20323196	1	52
20323196	2	53
20325305	1	1
20325305	1	3
20325305	1	4
20325305	2	5
20325305	1	6
20325725	2	7
20325732	1	1
20325732	2	7
20325732	1	48
20325732	1	51
20325770	1	3
20325770	2	6
20325770	1	48
20332419	5	1
20332419	7	2
20332419	17	3
20332419	7	4
20332419	6	5
20332419	6	6
20332419	7	7
20332419	3	8
20332419	7	44
20332419	27	45
20332419	17	46
20332419	8	47
20332419	3	48
20332419	11	49
20332419	8	50
20332419	8	51
20332419	8	52
20332419	3	53
20332433	78	0
20332433	111	1
20332433	93	2
20332433	48	4
20332433	85	5
20332433	161	7
20332433	97	8
20332433	43	46
20332433	202	47
20332433	33	48
20333225	3	0
20333225	3	1
20333225	7	2
20333225	4	3
20333225	2	4
20333225	2	5
20333225	5	6
20333225	3	7
20333225	1	8
20333225	3	44
20333225	3	45
20333225	6	46
20333225	4	47
20333225	7	48
20333225	4	49
20333225	3	50
20333225	2	51
20333225	4	52
20336929	1	0
20336929	2	3
20336929	3	5
20336929	2	8
20336929	1	45
20336929	2	46
20336929	1	47
20336929	1	48
20336929	1	49
20336929	3	52
20336936	1	0
20336936	1	2
20336936	3	3
20336936	3	4
20336936	4	5
20336936	2	7
20336936	3	8
20336936	3	45
20336936	4	46
20336936	1	47
20336936	1	49
20336936	1	52
20338510	5	2
20338510	1	3
20338510	2	4
20338510	1	5
20338510	1	7
20338510	1	52
20338770	1	47
20339166	1	7
20339166	1	49
20341091	2	2
20341091	2	3
20341091	1	50
20341992	2	0
20341992	2	1
20341992	5	2
20341992	5	3
20341992	3	4
20341992	6	5
20341992	13	6
20341992	11	7
20341992	10	8
20341992	7	44
20341992	11	45
20341992	6	46
20341992	11	47
20341992	10	48
20341992	8	49
20341992	3	50
20341992	8	51
20341992	2	52
20341992	1	53
20342647	1	48
20342647	1	49
20342814	1	46
20343095	1	1
20343095	2	2
20343095	1	3
20343095	3	4
20343095	1	7
20343095	2	46
20343095	1	47
20343095	2	50
20343095	1	51
20343095	1	53
20343101	1	3
20343101	1	4
20343101	1	44
20343101	1	46
20343101	1	47
20343101	2	48
20343101	1	49
20343101	1	52
20343590	1	44
20343644	1	0
20343644	3	2
20343644	1	3
20343644	1	48
20343644	2	50
20343941	1	3
20345716	1	51
20345822	1	7
20347864	2	2
20347864	1	3
20347864	1	4
20347864	1	5
20347864	1	46
20347864	2	47
20347864	1	50
20347970	1	1
20347970	1	2
20347970	1	7
20347987	2	2
20347987	1	4
20347987	1	5
20347987	1	6
20347987	1	46
20347987	1	47
20347987	1	50
20347987	1	51
20347994	1	49
20347994	1	50
20348403	1	1
20348403	1	7
20348403	1	8
20348403	1	44
20348403	1	45
20348403	2	47
20348403	1	50
20349134	1	6
20349134	1	47
20349134	1	49
20351120	1	4
20351144	1	2
20351144	1	5
20351144	1	47
20351151	1	47
20351359	1	1
20351359	1	47
20351359	1	52
20351366	1	45
20351366	3	49
20351380	1	0
20351380	1	1
20351380	1	2
20351380	1	3
20351380	2	5
20351380	1	46
20351380	3	49
20351397	1	0
20351397	1	3
20351397	2	47
20351410	1	45
20351458	1	7
20351465	1	1
20351465	2	2
20351465	2	3
20351465	1	7
20351465	1	45
20351465	1	47
20351465	1	48
20351465	2	49
20351465	1	50
20351465	1	52
20351489	1	1
20351489	1	2
20351489	1	5
20351489	1	6
20351489	1	45
20351489	1	46
20351489	2	49
20351489	1	50
20351731	1	44
20352196	3	7
20352196	2	8
20352196	1	50
20352318	2	4
20352318	1	5
20352318	2	6
20352318	1	7
20352318	2	48
20352318	1	49
20352318	1	50
20352318	1	52
20352400	1	1
20352400	1	2
20352400	1	6
20352400	1	49
20352523	1	44
20352615	3	2
20352615	1	3
20352615	2	4
20352615	1	5
20352615	2	6
20352615	3	7
20352615	2	8
20352615	1	44
20352615	2	46
20352615	5	47
20352615	2	48
20352615	4	50
20352615	1	51
20352721	1	2
20352837	1	2
20352837	3	3
20352837	2	4
20352837	2	7
20352837	1	44
20352837	1	45
20352837	2	46
20352837	1	47
20352837	2	50
20352837	1	51
20354091	3	0
